Archer, 50, 5, 7, 2, 2, 1, 3
Galley, 50, 5, 3, 3, 2, 1, 12
Scout, 30, 4, 0, 2, 0, 1, 7
Settler, 100, 0, 0, 2, 0, 1, 1
Spearman, 60, 7, 0, 2, 0, 0, 4
Warrior, 45, 6, 0, 2, 0, 1, 2
Worker, 70, 0, 0, 2, 0, 1, 0
Catapult, 80, 5, 12, 2, 2, 0, 9
Swordsman, 80, 12, 0, 2, 0, 0, 17
Crossbowman, 125, 10, 15, 2, 2, 0, 14
Knight, 125, 19, 0, 3, 0, 0, 13
Pikeman, 90, 10, 0, 2, 0, 0, 5
Cannon, 190, 13, 27, 2, 2, 0, 21
Caravel, 120, 15, 7, 6, 2, 0, 20
Cavalry, 225, 25, 0, 3, 0, 0, 23
Frigate, 190, 30, 15, 5, 2, 0, 25
Musketman, 150, 16, 0, 2, 0, 0, 18
Rifleman, 225, 25, 0, 2, 0, 0, 19
Artillery, 330, 16, 32, 2, 3, 0, 27
Battleship, 380, 60, 32, 4, 3, 0, 32
Carrier, 380, 30, 0, 5, 0, 0, 34
Destroyer, 380, 35, 22, 8, 2, 0, 33
Fighter, 380, 0, 40, 0, 8, 0, 41
Infantry, 320, 36, 0, 2, 0, 0, 24
Ironclad, 275, 35, 18, 4, 2, 0, 26
Submarine, 375, 25, 60, 5, 3, 0, 35
Tank, 375, 50, 0, 5, 0, 0, 28
Bomber, 375, 0, 50, 0, 10, 0, 42
Helicopter Gunship, 425, 50, 0, 6, 0, 0, 38
Jet Fighter, 425, 0, 60, 0, 10, 0, 43
Mechanized Infantry, 380, 50, 0, 3, 0, 0, 39
Modern Armor, 425, 80, 0, 5, 0, 0, 40
Stealth Bomber, 425, 0, 80, 0, 20, 0, 44
